candidate_id,候选名称,候选层级,数字员工候选,三宝Preset候选,业务价值类型,问题类型,主核心能力,包含skill数,平均置信度,优先级,代表技能,建议下一步,复核原因
SANBAO-93976a49-数据质量,内容与品牌 × 数据质量 Preset 候选｜数据质量｜视觉/多模态,待复核资产池,待人工命名,内容与品牌 × 数据质量 Preset 候选,内容与品牌,数据质量,视觉/多模态,9,0.908,P3-先补证,geo-magazine-slides-cn；twilio-sendgrid-deliverability-advisor；exploratory-data-analysis；xlsx；xlsx；xlsx；artifact-template-operating-calendar；artifact-template-project-tracker,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-d94235e2-数据质量,内容与品牌 × 数据质量 Preset 候选｜数据质量｜实验/评估,待复核资产池,待人工命名,内容与品牌 × 数据质量 Preset 候选,内容与品牌,数据质量,实验/评估,2,0.94,P3-先补证,geo-database；software-architecture,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-ce40e5da-数据质量,内容与品牌 × 数据质量 Preset 候选｜数据质量｜合规/规则扫描,待复核资产池,待人工命名,内容与品牌 × 数据质量 Preset 候选,内容与品牌,数据质量,合规/规则扫描,2,0.92,P3-先补证,forms-onboarding-ux；waitlist-page,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-5804c0ea-数据质量,内容与品牌 × 数据质量 Preset 候选｜数据质量｜工程模式/自动化,待复核资产池,待人工命名,内容与品牌 × 数据质量 Preset 候选,内容与品牌,数据质量,工程模式/自动化,6,0.897,P3-先补证,review-skill；review-skill；twilio-sendgrid-engagement-quality；error-handling-patterns；dotnet-expert；matchms,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-e34de037-数据质量,内容与品牌 × 数据质量 Preset 候选｜数据质量｜按技能原文流程执行,待复核资产池,待人工命名,内容与品牌 × 数据质量 Preset 候选,内容与品牌,数据质量,按技能原文流程执行,3,0.883,P3-先补证,youtube-downloader；architecture-lint；brainstorming,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-b70536c1-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜DiD/因果推断,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,DiD/因果推断,22,0.894,P3-先补证,copilot-sdk；dsh-desktop-diagnostics；dsh-desktop-diagnostics；twilio-debugging-observability；dtc-monitoring-and-daily-report；excel-live-control；excel-live-control；jlceda-plugin-builder,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-db1c7b06-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜NLP/情感分析,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,NLP/情感分析,8,0.926,P3-先补证,pinduoduo；xiaohongshu-competitor-analysis；xiaohongshu-trends-insights；xiaohongshu-yunying-zhushou；agent-reach；to-tickets；to-tickets；lark-apps,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-91a4b336-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜预测建模,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,预测建模,11,0.915,P3-先补证,alphafold-database；fullstack-dev；ifind；ifind；igo open data；igo open data；imf；imf,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-c9771a0c-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜优化/运筹,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,优化/运筹,87,0.885,P3-先补证,spreadjs-dev-skill；chembl-database；dingtalk-shared；dnanexus-integration；modsearch；modsearch；modsearch；modsearch,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-7fb15aa3-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜RAG/知识检索,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,RAG/知识检索,10,0.926,P3-先补证,build-chatgpt-app；build-chatgpt-app；chatgpt-apps；lamindb；sandbox-sdk；twilio-messaging-webhooks；aiq-deploy；building-mcp-server-on-cloudflare,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-e3f1c6d0-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜知识图谱/本体建模,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,知识图谱/本体建模,29,0.889,P3-先补证,epigraphdb-skill；notion-performance-tuning；notion-sdk-patterns；paper2skills-deploy；refactor；refactor；shadcn；shadcn,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-6aa012c4-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜视觉/多模态,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,视觉/多模态,28,0.875,P3-先补证,github-actions-templates；kegg-database；technical-writer；technical-writer；zoom-video-sdk-windows；agent-browser；biopython；summarize,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-0a9d4963-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜实验/评估,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,实验/评估,6,0.853,P3-先补证,anydev；transcribe；multi-search-engine；marketplace；marketplace；marketplace,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-a001127a-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜合规/规则扫描,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,合规/规则扫描,10,0.882,P3-先补证,ctrip-wendao；twilio-webhook-architecture；twilio-email-send；using-git-worktrees；using-git-worktrees；using-git-worktrees；canvas；twilio-sendgrid-suppressions,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-caa129cd-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜工程模式/自动化,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,工程模式/自动化,81,0.889,P3-先补证,bindingdb-skill；biorxiv-skill；cbioportal-skill；chembl-skill；clinicaltrials-skill；ensembl-skill；gwas-catalog-skill；human-protein-atlas-skill,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-a8c688cd-集成部署,内容与品牌 × 集成部署 Preset 候选｜集成部署｜按技能原文流程执行,待复核资产池,待人工命名,内容与品牌 × 集成部署 Preset 候选,内容与品牌,集成部署,按技能原文流程执行,4,0.86,P3-先补证,himalaya；sites-preview-troubleshooting；things-mac；Agent-preview troubleshooting,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-70ab2fad-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜DiD/因果推断,原子技能组候选,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,DiD/因果推断,2,0.95,P2-可评审,p2s-multimodal-table-understanding；p2s-multimodal-table-understanding,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-66076c9b-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜NLP/情感分析,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,NLP/情感分析,34,0.946,P3-先补证,awesun-skill；browser-task；browser-task；browser-task；browser-task；create-skill-file；p2s-hgt-heterogeneous-graph-transformer；p2s-hgt-heterogeneous-graph-transformer,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-e89f8c77-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜预测建模,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,预测建模,5,0.92,P3-先补证,Claude；SKILL；SKILL；SKILL；artifact-template-sales-pipeline,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-9d51f999-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜优化/运筹,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,优化/运筹,274,0.931,P3-先补证,Claude 教程采集与翻译项目；p2s-hgcn-hyperbolic-graph-convolutional-networks；SEO Competitor Analyzer - 竞品SEO分析工具；SEO GEO Optimizer - GEO/AI搜索优化工具；SEO Main Hub - SEO与GEO优化主协调器；SEO Multilingual - 多语言SEO优化工具；SEO Technical Audit - 技术SEO审计工具；不在键盘旁时处理请求,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-d3b4a88d-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜RAG/知识检索,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,RAG/知识检索,10,0.897,P3-先补证,chrome-devtools；chrome-devtools；org-structure-research；patent-disclosure-skill；motion-canvas；competition-prompt-injection；competition-prompt-injection；competition-prompt-injection,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-2d86f4b0-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜知识图谱/本体建模,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,知识图谱/本体建模,4,0.915,P3-先补证,geo-multi-engine-comparison；hyperframes-cli；hyperframes-cli；qoder-cloud-agents,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-62b3b727-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜视觉/多模态,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,视觉/多模态,10,0.907,P3-先补证,dev-test-chrome；browsing；standard-skill；standard-skill；standard-skill；standard-skill；kimi-skills-finder；agent-browser-verify,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-9cc89a5b-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜实验/评估,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,实验/评估,4,0.943,P3-先补证,amazon-prelaunch-trend-scout；trend-breakout-scout；vocabulary-video-pipeline；gmail-assistant,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-47c85630-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜合规/规则扫描,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,合规/规则扫描,6,0.932,P3-先补证,competitive-report；editorial-ops；wecomcli-contact；grill-me；setup-matt-pocock-skills；setup-matt-pocock-skills,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-db9c0993-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜工程模式/自动化,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,工程模式/自动化,27,0.866,P3-先补证,browser-use；editorial-ops；pyopenms；plan-zoom-product；playwright-mcp；refactoring；Writing Hookify Rules；browser-harness,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-0c4b1e3b-自动化执行,内容与品牌 × 自动化执行 Preset 候选｜自动化执行｜按技能原文流程执行,待复核资产池,待人工命名,内容与品牌 × 自动化执行 Preset 候选,内容与品牌,自动化执行,按技能原文流程执行,5,0.922,P3-先补证,aily-cli-schedule；aily-cli-schedule；remotion-best-practices；remotion-best-practices；testbuddy-ext-skill,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-33142476-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜DiD/因果推断,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,DiD/因果推断,21,0.939,P3-先补证,literature-scout；literature-scout；literature-scout；literature-scout；paper-write-zh-chapters；paper-write-zh-chapters；paper-write-zh-chapters；paper-write-zh-chapters,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-9dbd049a-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜NLP/情感分析,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,NLP/情感分析,41,0.927,P3-先补证,commodity-research-outlook；doubao-headlines-calendar；doubao-headlines-calendar；doubao-headlines-calendar；doubao-headlines-calendar；huashu-nuwa；p2s-tree-of-thoughts-planning；p2s-tree-of-thoughts-planning,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-5e3c620f-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜预测建模,场景工作流候选,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,预测建模,12,0.932,P3-先补字段,doubao-private-company；doubao-private-company；doubao-private-company；doubao-private-company；sun-yuchen-perspective；trump-perspective；p2s-session-based-recommendation-sr-gnn；p2s-session-based-recommendation-sr-gnn,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-760d0ec1-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜优化/运筹,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,优化/运筹,38,0.932,P3-先补证,competitive-seo-intel；linkfox-junglescout-keyword-by-keyword；SEO竞品分析；SEO竞品分析；基于你的研究进行市场规模测算；多语言SEO；多语言SEO；将短信线程转为研究笔记,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-4839a2aa-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜RAG/知识检索,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,RAG/知识检索,17,0.9,P3-先补证,wechat-article-search；wechat-article-search；notion-meeting-intelligence；notion-meeting-intelligence；reactome-database；paper-write-zh-literature-review；paper-write-zh-literature-review；paper-write-zh-literature-review,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-ad70a6d1-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜知识图谱/本体建模,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,知识图谱/本体建模,4,0.912,P3-先补证,spec-driven-development；notion-research-documentation；wireframe-sketch；skill-creator,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-f1f6a40f-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜视觉/多模态,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,视觉/多模态,16,0.906,P3-先补证,deep-reading-analyst；kimi-webbridge；kimi-webbridge；kimi-webbridge；messaging-frameworks；metabolomics-workbench-database；trend-research；article-sketchnote-editorial,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-6b5b6caf-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜实验/评估,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,实验/评估,17,0.927,P3-先补证,munger-perspective；munger-perspective；zhangxuefeng-perspective；bubble-detection；fund-crowding；institutional-holdings；sales-negotiator；whitepapers,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-79456386-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜合规/规则扫描,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,合规/规则扫描,5,0.906,P3-先补证,dsh-motion-deck；brand-narrative-playbook；ux-research-plan；spring-events；telemetry,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-7ebb030b-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜工程模式/自动化,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,工程模式/自动化,22,0.875,P3-先补证,notion-research-documentation；Skywork Search；domain-name-brainstormer；Git Conflicts；notion-research-documentation；digital-eguide；route-handlers；build-zoom-meeting-sdk-app,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-dc8dd713-学习参考,内容与品牌 × 学习参考 Preset 候选｜学习参考｜按技能原文流程执行,待复核资产池,待人工命名,内容与品牌 × 学习参考 Preset 候选,内容与品牌,学习参考,按技能原文流程执行,44,0.866,P3-先补证,industry-chain；macro-to-stock；market-overview；northbound-flow；position-management；sector-comparison；stock-deep-dive；valuation-framework,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-c28b75c2-其他-待人工归类,待人工判断｜其他/待人工归类｜按技能原文流程执行,待复核资产池,待人工命名,待人工判断,内容与品牌,其他/待人工归类,按技能原文流程执行,28,0.687,P3-先补证,product-name；poster-hero；poster-hero；poster-hero；social-carousel；social-carousel；social-carousel；social-media-matrix,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,10 条源文件不可稳定读取；超过半数记录需要字段复核；问题类型未明确；核心能力未结构化
SANBAO-3cee4f61-诊断归因,风险与合规 × 诊断归因 Preset 候选｜诊断归因｜DiD/因果推断,待复核资产池,待人工命名,风险与合规 × 诊断归因 Preset 候选,风险与合规,诊断归因,DiD/因果推断,4,0.782,P3-先补证,p2s-demand-anomaly-causal-attribution；p2s-demand-anomaly-causal-attribution；Skill-CDA-Privacy-Causal-Attribution；Skill-CDA-Privacy-Causal-Attribution,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,1 条源文件不可稳定读取
SANBAO-2fd30484-预测预警,风险与合规 × 预测预警 Preset 候选｜预测预警｜DiD/因果推断,原子技能组候选,待人工命名,风险与合规 × 预测预警 Preset 候选,风险与合规,预测预警,DiD/因果推断,2,0.95,P2-可评审,p2s-accounts-receivable-intelligence；p2s-accounts-receivable-intelligence,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-6b1c477c-预测预警,风险与合规 × 预测预警 Preset 候选｜预测预警｜NLP/情感分析,场景工作流候选,待人工命名,风险与合规 × 预测预警 Preset 候选,风险与合规,预测预警,NLP/情感分析,6,0.95,P2-可评审,p2s-consumer-complaint-recall-prediction；p2s-consumer-complaint-recall-prediction；p2s-review-velocity-anomaly-detector；p2s-review-velocity-anomaly-detector；电商日报；电商日报,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-3bb15c16-预测预警,风险与合规 × 预测预警 Preset 候选｜预测预警｜预测建模,原子技能组候选,待人工命名,风险与合规 × 预测预警 Preset 候选,风险与合规,预测预警,预测建模,2,0.95,P2-可评审,p2s-tax-evasion-ri[REDACTED]；p2s-tax-evasion-ri[REDACTED],抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-acd226c6-预测预警,风险与合规 × 预测预警 Preset 候选｜预测预警｜优化/运筹,待复核资产池,待人工命名,风险与合规 × 预测预警 Preset 候选,风险与合规,预测预警,优化/运筹,1,0.95,P3-先补证,ecommerce-daily-report,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-ffd963fd-优化决策,风险与合规 × 优化决策 Preset 候选｜优化决策｜DiD/因果推断,场景工作流候选,待人工命名,风险与合规 × 优化决策 Preset 候选,风险与合规,优化决策,DiD/因果推断,10,0.95,P2-可评审,doubao-data-analysis；doubao-data-analysis；doubao-data-analysis；doubao-data-analysis；p2s-algorithmic-fairness-in-pricing；p2s-algorithmic-fairness-in-pricing；p2s-position-bias-debiasing-rec；p2s-position-bias-debiasing-rec,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-e3c30245-优化决策,风险与合规 × 优化决策 Preset 候选｜优化决策｜NLP/情感分析,原子技能组候选,待人工命名,风险与合规 × 优化决策 Preset 候选,风险与合规,优化决策,NLP/情感分析,3,0.95,P2-可评审,p2s-competitor-keyword-gap-analysis；p2s-competitor-keyword-gap-analysis；商品风险检测,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-d24d5de5-优化决策,风险与合规 × 优化决策 Preset 候选｜优化决策｜预测建模,场景工作流候选,待人工命名,风险与合规 × 优化决策 Preset 候选,风险与合规,优化决策,预测建模,14,0.948,P2-可评审,p2s-adactx-dynamic-context-budget-allocation；p2s-adactx-dynamic-context-budget-allocation；p2s-agentic-workflow-compilation；p2s-agentic-workflow-compilation；p2s-caster-context-aware-model-routing；p2s-caster-context-aware-model-routing；p2s-caster-context-aware-model-routing；p2s-monodense,抽查代表技能，合并同义项，确认是否作为原子技能组或场景工作流候选。,可进入下一轮业务聚类评审
SANBAO-cc02fef6-优化决策,风险与合规 × 优化决策 Preset 候选｜优化决策｜优化/运筹,待复核资产池,待人工命名,风险与合规 × 优化决策 Preset 候选,风险与合规,优化决策,优化/运筹,20,0.929,P3-先补证,p2s-cost-plus-dynamic-tariff-pricing；p2s-cost-plus-dynamic-tariff-pricing；p2s-inventory-write-down-impairment；p2s-inventory-write-down-impairment；p2s-mas-resource-scheduling；p2s-mas-resource-scheduling；p2s-orchestration-trace-rl；p2s-orchestration-trace-rl,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-9bb2974f-优化决策,风险与合规 × 优化决策 Preset 候选｜优化决策｜工程模式/自动化,待复核资产池,待人工命名,风险与合规 × 优化决策 Preset 候选,风险与合规,优化决策,工程模式/自动化,1,0.92,P3-先补证,catalyst-calendar,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-72b9eba4-优化决策,风险与合规 × 优化决策 Preset 候选｜优化决策｜按技能原文流程执行,待复核资产池,待人工命名,风险与合规 × 优化决策 Preset 候选,风险与合规,优化决策,按技能原文流程执行,3,0.93,P3-先补证,KA 与线上货盘差异化规划（防渠道冲突）；statistical-and-uncertainty-visualization；statistical-and-uncertainty-visualization,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-c684b994-生成制作,风险与合规 × 生成制作 Preset 候选｜生成制作｜NLP/情感分析,待复核资产池,待人工命名,风险与合规 × 生成制作 Preset 候选,风险与合规,生成制作,NLP/情感分析,5,0.95,P3-先补证,docs-generator；docs-generator；docs-generator；docs-generator；docs-generator,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-13563c8f-生成制作,风险与合规 × 生成制作 Preset 候选｜生成制作｜优化/运筹,待复核资产池,待人工命名,风险与合规 × 生成制作 Preset 候选,风险与合规,生成制作,优化/运筹,11,0.918,P3-先补证,alibaba-global-smart-assistant-settings；electron-app-dev；market-research-reports；market-research-reports；electron-best-practices；shopify-product-collection-write-brief；testing-data-visualizations；testing-data-visualizations,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-416581f1-生成制作,风险与合规 × 生成制作 Preset 候选｜生成制作｜知识图谱/本体建模,待复核资产池,待人工命名,风险与合规 × 生成制作 Preset 候选,风险与合规,生成制作,知识图谱/本体建模,2,0.94,P3-先补证,openapi-spec-generation；fastapi-templates,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-4d1465e4-生成制作,风险与合规 × 生成制作 Preset 候选｜生成制作｜视觉/多模态,待复核资产池,待人工命名,风险与合规 × 生成制作 Preset 候选,风险与合规,生成制作,视觉/多模态,4,0.943,P3-先补证,drawio；k8s-manifest-generator；treatment-plans；architecture-diagram,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-0606af16-生成制作,风险与合规 × 生成制作 Preset 候选｜生成制作｜按技能原文流程执行,待复核资产池,待人工命名,风险与合规 × 生成制作 Preset 候选,风险与合规,生成制作,按技能原文流程执行,1,0.85,P3-先补证,numeric-extraction-and-distribution-analysis,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核；核心能力未结构化
SANBAO-ce7cc45f-检索组织,风险与合规 × 检索组织 Preset 候选｜检索组织｜DiD/因果推断,待复核资产池,待人工命名,风险与合规 × 检索组织 Preset 候选,风险与合规,检索组织,DiD/因果推断,1,0.8,P3-先补证,clickhouse-js-node-coding,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
SANBAO-8ef2dcd4-检索组织,风险与合规 × 检索组织 Preset 候选｜检索组织｜知识图谱/本体建模,待复核资产池,待人工命名,风险与合规 × 检索组织 Preset 候选,风险与合规,检索组织,知识图谱/本体建模,4,0.757,P3-先补证,database-inspector；bun-monorepo-vite-elysia-spa；Skill-Multi-Market-Compliance-Matrix-Ontology；Skill-Multi-Market-Compliance-Matrix-Ontology,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,1 条源文件不可稳定读取；超过半数记录需要字段复核
SANBAO-700e7efe-检索组织,风险与合规 × 检索组织 Preset 候选｜检索组织｜工程模式/自动化,待复核资产池,待人工命名,风险与合规 × 检索组织 Preset 候选,风险与合规,检索组织,工程模式/自动化,1,0.88,P3-先补证,iterate-objects-safely,先处理不可读源文件、缺失输入输出和业务价值不明项，再决定是否纳入三宝能力图谱。,超过半数记录需要字段复核
